SysetID,Name,.obj paths,fileid,cloudpath,status,f1,f2,f3,f4,f5,f6
4256520,sofa_couch_lounge,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04256520\43c435a4a10d90204d724d9ce5af6d8e\models\model_normalized.obj,43c435a4a10d90204d724d9ce5af6d8e,sofa_couch_lounge_4256520_43c435a4a10d90204d724d9ce5af6d8e1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,,,
4090263,rifle,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04090263\4a8f8e108cfa6503202be79d8b285c1e\models\model_normalized.obj,4a8f8e108cfa6503202be79d8b285c1e,rifle_4090263_4a8f8e108cfa6503202be79d8b285c1e1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,"ConvertCEtoKE,AE,TE",ImportHE,"ExportAE,TE"
2871439,bookshelf,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\02871439\80386678689904d16421c9121bcb0cd\models\model_normalized.obj,80386678689904d16421c9121bcb0cd,bookshelf_2871439_80386678689904d16421c9121bcb0cd1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,,,
3593526,jar,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03593526\2ec608cc4d3287bb92e0b07fda7527d0\models\model_normalized.obj,2ec608cc4d3287bb92e0b07fda7527d0,jar_3593526_2ec608cc4d3287bb92e0b07fda7527d01_10000_2pc.ply,Cloud Generated,StoreLiquid,ImportLiquid,ExportLiquid,StoreSolid,ImportSolid,ExportSolid
3593526,jar,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03593526\585c1079643d859db2236bb2a62ecfdf\models\model_normalized.obj,585c1079643d859db2236bb2a62ecfdf,jar_3593526_585c1079643d859db2236bb2a62ecfdf1_10000_2pc.ply,Cloud Generated,StoreLiquid,ImportLiquid,ExportLiquid,,,
4090263,rifle,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04090263\55171896c70646cdd87c63d8b3018b58\models\model_normalized.obj,55171896c70646cdd87c63d8b3018b58,rifle_4090263_55171896c70646cdd87c63d8b3018b581_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,"ConvertCEtoKE,AE,TE",ImportHE,"ExportAE,TE"
4090263,rifle,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04090263\4407c14eb6e7ba83160ce3b5a19029bc\models\model_normalized.obj,4407c14eb6e7ba83160ce3b5a19029bc,rifle_4090263_4407c14eb6e7ba83160ce3b5a19029bc1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,"ConvertCEtoKE,AE,TE",ImportHE,"ExportAE,TE"
4256520,sofa_couch_lounge,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04256520\a996982326ffe668593ebeeedbff73b\models\model_normalized.obj,a996982326ffe668593ebeeedbff73b,sofa_couch_lounge_4256520_a996982326ffe668593ebeeedbff73b1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,,,
3593526,jar,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03593526\c1ded06f2af01612a54fd40ef3a8dfd0\models\model_normalized.obj,c1ded06f2af01612a54fd40ef3a8dfd0,jar_3593526_c1ded06f2af01612a54fd40ef3a8dfd01_10000_2pc.ply,Cloud Generated,StoreLiquid,,,StoreSolid,ImportSolid,ExportSolid
4256520,sofa_couch_lounge,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04256520\55f6500b52310f26352ecf815a233abb\models\model_normalized.obj,55f6500b52310f26352ecf815a233abb,sofa_couch_lounge_4256520_55f6500b52310f26352ecf815a233abb1_10000_2pc.ply,Cloud Generated,StoreSolid,ImportSolid,ExportSolid,,,
3636649,lamp,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03636649\57b95c1122beac7c3fef86d7b5969363\models\model_normalized.obj,57b95c1122beac7c3fef86d7b5969363,lamp_3636649_57b95c1122beac7c3fef86d7b59693631_10000_2pc.ply,Cloud Generated,ConvertEEtoLE,ImportEE,ExportLE,,,
